user,event_id,event_type,repo,event_url,event_watchs,event_stars,event_forks,event_issues,event_isfork,event_projects,event_downloads,event_wiki,event_pages,event_discussions,date_,time,language_1,lang_count_1,language_2,lang_count_2,language_3,lang_count_3
callieEDU,42271873205,PushEvent,Power-Electronics,https://github.com/MathWorks-Teaching-Resources/Power-Electronics,2.0,0.0,0.0,0.0,False,True,True,False,False,False,2024-09-25,19:52:22,MATLAB,5159599.0,,,,
Vara-Ali,42271873221,PublicEvent,portfolio,https://github.com/Vara-Ali/portfolio,1.0,0.0,0.0,0.0,False,True,True,False,False,False,2024-09-25,19:52:22,JavaScript,8820.0,HTML,2143.0,CSS,987.0
AlvesInfo,42271873173,PushEvent,heron,https://github.com/AlvesInfo/heron,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,19:52:22,Python,2699756.0,HTML,833998.0,Shell,69.0
rulues,42271873176,PushEvent,product,https://github.com/rulues/product,1.0,0.0,0.0,1.0,False,True,True,True,True,False,2024-09-25,19:52:22,Java,2816.0,Dockerfile,1018.0,,
coderabbitai[bot],42271873159,PullRequestReviewEvent,Artemis,https://github.com/ls1intum/Artemis,21.0,486.0,288.0,665.0,False,True,True,False,True,True,2024-09-25,19:52:22,Java,17174210.0,TypeScript,15094504.0,HTML,3079615.0
Ironus,42271873142,PushEvent,exercism-groovy,https://github.com/Ironus/exercism-groovy,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,19:52:22,Groovy,22745.0,,,,
github-actions[bot],42271873133,PushEvent,status-page,https://github.com/IAmADev78/status-page,0.0,1.0,0.0,0.0,True,True,True,True,True,False,2024-09-25,19:52:22,JavaScript,15768.0,CSS,5158.0,HTML,2797.0
eclipse-ocl-bot,42271873122,IssueCommentEvent,org.eclipse.ocl,https://github.com/eclipse-ocl/org.eclipse.ocl,2.0,0.0,0.0,567.0,False,True,True,True,False,False,2024-09-25,19:52:22,Java,58882984.0,GAP,3191321.0,HTML,197130.0
knexator,42271873130,CreateEvent,zig_webgame,https://github.com/knexator/zig_webgame,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,19:52:22,Zig,6756.0,HTML,2060.0,JavaScript,1573.0
kyra-ohare,42271873128,CreateEvent,car-migo,https://github.com/kyra-ohare/car-migo,1.0,0.0,2.0,2.0,False,True,True,True,False,False,2024-09-25,19:52:22,Java,281125.0,TypeScript,166294.0,JavaScript,1849.0
vdmgolub,42271873103,PullRequestEvent,example-terraform1,https://github.com/vdmgolub-corp/example-terraform1,0.0,0.0,0.0,3.0,True,True,True,True,False,False,2024-09-25,19:52:22,HCL,3441.0,,,,
mcd8604,42271873104,IssuesEvent,wowengraver,https://github.com/mcd8604/wowengraver,1.0,3.0,2.0,2.0,False,True,True,True,False,False,2024-09-25,19:52:22,Lua,72605.0,,,,
netlify[bot],42271873092,IssueCommentEvent,portfolio,https://github.com/quentinmcq/portfolio,0.0,0.0,0.0,2.0,False,True,True,True,False,True,2024-09-25,19:52:22,TypeScript,46275.0,Vue,41942.0,SCSS,12471.0
agentgill,42271873085,WatchEvent,python-docker-tutorial,https://github.com/patrickloeber/python-docker-tutorial,6.0,295.0,123.0,4.0,False,True,True,True,False,False,2024-09-25,19:52:21,Python,2022.0,Dockerfile,663.0,,
shopify[bot],42272692310,PushEvent,webdev-print,https://github.com/finn2212/webdev-print,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,Liquid,1007062.0,JavaScript,236388.0,CSS,224468.0
matthewgallo,42272692333,PullRequestEvent,tanstack-carbon,https://github.com/matthewgallo/tanstack-carbon,1.0,1.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,TypeScript,251734.0,SCSS,28573.0,HTML,9926.0
frdpzk2,42272692307,PushEvent,ppub,https://github.com/frdpzk2/ppub,1.0,1.0,0.0,0.0,False,True,True,False,False,False,2024-09-25,20:22:18,,,,,,
StevenArzt,42272692297,PushEvent,FlowDroid,https://github.com/secure-software-engineering/FlowDroid,32.0,1047.0,297.0,222.0,False,True,True,True,False,False,2024-09-25,20:22:18,Java,4414511.0,,,,
dannywillems,42272692287,PushEvent,proof-systems,https://github.com/o1-labs/proof-systems,29.0,407.0,91.0,154.0,False,True,True,True,True,True,2024-09-25,20:22:18,Rust,3768687.0,CSS,26969.0,Sage,10577.0
ChristopheTiet,42272692277,PullRequestEvent,learn-nextjs,https://github.com/ChristopheTiet/learn-nextjs,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,TypeScript,65125.0,CSS,328.0,JavaScript,176.0
Caleb-T-Owens,42272692265,PullRequestReviewCommentEvent,gitbutler,https://github.com/gitbutlerapp/gitbutler,47.0,12524.0,494.0,266.0,False,False,True,False,False,True,2024-09-25,20:22:17,Rust,1205421.0,TypeScript,693416.0,Svelte,677797.0
halilim,42272692259,WatchEvent,anki,https://github.com/ankitects/anki,344.0,18402.0,2096.0,177.0,False,False,True,False,False,False,2024-09-25,20:22:18,Rust,2356244.0,Python,1602793.0,TypeScript,575217.0
